HITId,Text,Label,sentiment,directness,annotator_sentiment,target,group
17,@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,1,offensive,indirect,indifference,gender,women
18,واحده بايره,1,abusive_disrespectful,indirect,indifference,other,women
19,@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,1,abusive_hateful,direct,indifference,other,arabs
20,زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,0,normal,indirect,sadness,other,other
21,@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1,hateful,direct,indifference,other,other
22,جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,1,offensive,indirect,indifference,other,individual
23,@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,0,normal,direct,indifference,other,other
24,@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,1,disrespectful,direct,indifference,other,individual
25,الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,0,normal,indirect,indifference,gender,other
26,@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,1,offensive,indirect,indifference_disgust,origin,other
27,@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,1,hateful,direct,shock,origin,individual
28,@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,1,abusive,direct,disgust,other,individual
29,@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,1,offensive,direct,disgust,origin,individual
30,@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0,normal,direct,anger_indifference,origin,individual
31,@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,1,hateful,direct,shock,origin,individual
32,@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,1,hateful,direct,shock,origin,other
33,@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,1,abusive_hateful,direct,indifference_disgust,origin,arabs
34,@user @user كلهم خنازير المجوس,1,abusive_hateful,indirect,anger_disgust,other,other
35,@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,1,offensive,indirect,anger_disgust,other,individual
36,@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,0,normal,indirect,indifference,other,other
37,اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,1,disrespectful_normal,indirect,indifference,other,other
38,وحدة مناهضة التحرش والعنف ضد المرأة,0,normal,direct,indifference,gender,women
39,والله هندوس ع وش اللي جابوهم السبت,1,offensive,indirect,indifference,other,indian/hindu
40,@user ياشارب بول البعير العباسيين هم الهاشميين,1,offensive,indirect,indifference,origin,individual
41,بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,1,abusive_offensive,indirect,shock,other,individual
42,صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url,0,normal,indirect,indifference_disgust,other,other
43,@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,1,offensive,direct,disgust,origin,other
44,@user let guess اللاجئون السوريون؟,0,normal,indirect,sadness,origin,refugees
45,والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,0,normal,indirect,indifference,origin,other
46,معا لحماية أطفالنا من التحرش الجنسي @url,0,normal,indirect,indifference,other,other
47,@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,1,abusive_normal,direct,shock_indifference,gender,women
48,مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,1,disrespectful,indirect,shock,other,refugees
49,@user @user بس يا شارب بول البعير يا عبد ال سلول,1,abusive_hateful,direct,shock,origin,other
50,@user @user @user هههعععععع اي علوم ههههه بول البعير,1,hateful,indirect,indifference,other,other
51,عيل وسخ هسقطك. @url,1,offensive,direct,indifference,other,individual
52,ناقشه بمعزل تاااااااام عن قضية التبرج,0,normal,indirect,indifference,other,individual
53,الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url,1,hateful,indirect,indifference,other,other
54,@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ,1,offensive,indirect,indifference,other,individual
55,@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,1,disrespectful,direct,anger_confusion_sadness_indifference_disgust,gender,women
56,@user @user هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا… @url,1,hateful,indirect,indifference,other,other
57,@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url,0,normal,direct,indifference,other,other
58,@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,1,abusive_disrespectful,direct,shock,origin,other
59,@user @user اووووه يممممااااه تصدق خوفتني يا خنزير,1,offensive,indirect,anger_disgust,other,individual
60,دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url,1,offensive,indirect,indifference,gender,women
61,شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,1,offensive,indirect,indifference,gender,women
62,شوفو ليكم حاجة غير التحرش ده البن… @url,0,normal,indirect,sadness,other,other
63,لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,1,offensive,direct,sadness,gender,women
64,ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url,1,offensive,direct,anger_fear_indifference_sadness_disgust,other,other
65,بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,1,disrespectful,indirect,indifference,other,other
66,ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,1,offensive,indirect,confusion_indifference,other,women
67,بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في… @url,0,normal,direct,indifference,other,african_descent
68,مزال مسمعناش الصفارة يعني مكانش التحرش .,0,normal,direct,indifference,other,women
69,صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,1,hateful,indirect,disgust,origin,muslims
70,التحرش والشارع والمجال العام ما يكون آمن للنس… @url,0,normal,indirect,indifference,other,women
71,صباح الخير ايها اللاجئون,0,normal,indirect,indifference,other,refugees
72,@user @user حرر بلدك يا خنزير,1,offensive,direct,anger_disgust,origin,individual
73,@user @user خنزير اوبس,1,disrespectful,indirect,indifference,other,individual
74,بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,1,offensive,indirect,indifference,other,other
75,@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url,1,offensive,indirect,indifference_disgust,other,individual
76,من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,0,normal,indirect,indifference,other,special_needs
77,عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,0,normal,indirect,sadness,other,african_descent
78,@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,0,normal,indirect,shock,origin,women
79,يظل التحرش في نظر الانثي تحرشا,0,normal,direct,indifference,gender,women
80,دعسس خنازير #الإسرائيلي #عزمي_حم…,1,offensive,indirect,anger_disgust,other,other
81,ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url,1,disrespectful_normal,direct,sadness,other,women
82,@user @user خنازير التحالف العربي,1,offensive,indirect,indifference,origin,other
83,@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,1,hateful,direct,shock,other,other
84,تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),1,offensive,direct,anger_sadness_shock_indifference_disgust,gender,women
85,لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت… @url,1,abusive_normal,direct,shock,gender,women
86,يعني يلي بيشرب من بول البعير شو متوقع منو,1,abusive_disrespectful,direct,shock,other,other
87,ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url,0,normal,indirect,indifference,other,women
88,@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,1,offensive,direct,disgust,other,individual
89,@user @user @user @user @user استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن… @url,0,normal,indirect,indifference,other,individual
90,الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...,1,offensive,indirect,shock,other,other
91,نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url,1,offensive,indirect,indifference,gender,women
92,@user مجموعت خنازير تنبح ليل نهار  اتفو عليكم ياعبادة المال,1,abusive_offensive,direct,indifference,other,other
93,تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,1,offensive,indirect,anger_disgust,other,women
94,@user @user لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير,1,abusive_offensive,direct,indifference,gender,individual
95,بعدالودادوالنجمومازيمبي دورك يا حوريا#افريقيا_يا_اهلي,0,normal,direct,indifference,other,other
96,لا تصارع خنزير في الوحل..   فتتسخ أنت و يستمتع هو..,1,abusive_normal,indirect,indifference,other,other
97,كما سبق وأكدنا القصاص عاجل وسريع فدماء أبناءنا اغلي وأطهر  من كل كنوز الدنيا_والتصفية هي المصير الحتمي لكل خنازير ا… @url,0,normal,indirect,shock,other,other
98,@user @user لعنة الله عليك و علا اتباعك يا قريشي ياكلب يا شاربي بول البعير  يا عبيد امريكا @url,1,offensive_hateful,direct,anger_disgust,origin,other
99,@user @user لا هندوس,0,normal,direct,indifference,religion,indian/hindu
100,@user من اللي يقول المصاريا يحبون الفلوس واللبناني قذر والتركي شايف نفسه والسوداني عجاز والعراقي لسانه وسخ ؟,1,offensive,direct,anger_shock,origin,arabs
101,@user لاء دكر واغلط والى يغلط فى بنت اصلا موش راجل  فا اغلط بتقول كمية اللفاظ محسسنى الى رباك كان وسخ,1,offensive,indirect,anger_disgust,other,other
102,ولا حد يدعي انه رجل ويجيب سيرة الحريم,1,abusive_normal,indirect,indifference_disgust,other,individual
103,@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,1,abusive_offensive_hateful_disrespectful_normal,indirect,sadness,other,individual
104,محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,1,offensive,direct,indifference,other,individual
105,@user @user @user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قب… @user,1,offensive,indirect,sadness,other,other
106,لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج… @url,1,fearful_disrespectful_hateful_normal,direct,sadness,gender,women
107,والحريم مع الحريم ..  عناد شي ما صار  ..!!,1,disrespectful_normal,indirect,indifference,gender,women
108,@user @user @user يبد انكم جميعا راضعين من خنزير واحد كلكم تشتمون نفس الشتيمه,1,offensive,direct,indifference,origin,individual
109,@user من يشرب بول البعير لا يعرف كيف يستخدم قنابل #السعودية #اليمن,1,abusive_disrespectful,indirect,indifference_disgust,origin,other
110,خنازير رافضيه نفقت .,1,disrespectful,indirect,shock,origin,other
111,في فرق بين انك تكون اوبن مايندد وانك ماكل لحم خنزير.,1,disrespectful,indirect,indifference,other,individual
112,@user نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,0,normal,indirect,indifference_disgust,other,other
113,لو فيك خير اخذوك بنات جماعتك م اعرضت نفسك هنا كنك وحده بايره #ثلاثيني_وسيم_يرغب_بالزواج,1,offensive,indirect,indifference_disgust,origin,individual
114,انا متله متبرجة من سنة ويقدم ان شاءالله,1,offensive,direct,confusion_disgust,gender,women
115,شفيها لو طرشتي واتس تسولفين شوي مب لاازم فون مال ساعتين ترا مب كل الحريم لهن بارض هالكثر يسولفن والله,1,disrespectful_normal,indirect,sadness,gender,women
116,@user لا حلوين الحريم استاذ علي,0,normal,indirect,indifference,gender,women
117,@user لقد قتلوه بخسه وغباء وحقاره ووضاعه وبالتأكيد تألم انه قتل علي ايدي اقذر اهل الارض وبأمر من خنزير,0,normal,direct,shock,other,other
118,والله هدف ما يدخل في فريق فئات سنية.. هدف ساذج يا خنازير,1,disrespectful,indirect,shock,religion,other
119,خنازير البغدادي يتبنون العمليه مساء أمس..,0,normal,direct,indifference,other,other
120,عندما يختلط بول البعير ببول الحمير ففعل ما شئت . فقد رفع عنك القلم!!!,1,disrespectful,indirect,indifference,other,other
121,@user ممكن تبقي بايرة و نعمل جروب عوانس سواا؟؟,0,normal,indirect,shock,gender,women
122,@user @user @user خنزير اكتروني @url,1,offensive,direct,shock,other,other
123,فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,1,offensive_disrespectful,indirect,shock,other,other
124,@user @user @user تحتاج ان تفهم مشكلة اليمن اولا وبعدها نقدر نتكلم معك لا تنجرف مع خنازير الخنزيره,1,disrespectful,direct,indifference,other,individual
125,@user @user خنازير انجاس وخرفان اللهم انصر اخواننا بالسعودية وأهلنا بمصر عليهم يارب العالمين وتحيامصر تحيامصر تحيامصر,1,hateful,direct,anger_disgust,origin,other
126,@user ي بول البعير شنو يعني عبد !!!,1,offensive,indirect,indifference,origin,individual
127,@user @user تخلف يا شاربي بول البعير,1,abusive_hateful,direct,sadness,origin,individual
128,حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,0,normal,indirect,indifference_disgust,other,other
129,سؤال #منا_وجر اذا كانت الضحية بتتحمل مسؤولية التحرشالاغتصاب,1,offensive,indirect,indifference_disgust,other,women
130,متتزوجيش و تعيشي الحياة بدون مايقولو بايرة و مسكينة,1,abusive_normal,direct,indifference,other,individual
131,ياجماعه موضوع استعمال مزيلات العرق دا ، موضوع هادف و مثمر اكتر من التحرش ، والله محتاجين نتكلم فيو اكتر من اي حاجه… @url,0,normal,indirect,indifference,other,other
132,بس وش اسوي لك إذا انتي مهبوله ولسانك وسخ يالوسخه,1,offensive,direct,indifference,other,individual
133,@user @user بتاع بول البعير بيصرفوا عليك وعلى اهلك وعلى بلدك وعلى حكومتك وانت تبيع اللي وراك وقدامك عش… @url,1,hateful,direct,indifference,origin,individual
134,متحنش لحد باعك يا وسخ,1,offensive,direct,indifference,other,individual
135,كرم عويس أقامت مأدبة عشاء لزملائها في قناة الخنزيرة اعتقدوا كون والدها يعمل بالجيش الإسرائيلي تعود على أكل اليهود ف… @url,1,abusive_offensive,direct,indifference,other,individual
136,قدم نادي القانون بالتعاون مع مركز الدراسات الجنائية محاضرة بعنوان #التوعية_بنظام_مكافحة_التحرش ، ألقتها د.سحر الهبد… @url,0,normal,direct,indifference_disgust,other,women
137,#في_بلادك_تقدري تكملي قرايتك وتخدمي وما يعايروكش على انك ما تزوجتيش وما يقولولكش بايرة ولا عانس ولا مسكينة لازم رجل… @url,0,normal,indirect,indifference,gender,women
138,@user @user ايضا الشريف المرتضى في كتابة (الإنتصار) أباح شرب بول البعير بقوله [شرب بول ما يؤكل لحمه]… @url,0,normal,direct,indifference,other,individual
139,هو بول البعير والكبسة يوصل لكدة,1,disrespectful,indirect,indifference,other,other
140,يارجال التحرش بقى الكتروني كوني اقول ليك منقا او اقول ليك بيبي ده يعتبر تحرش الى ان ياتي مهند شاد اوغلو فيصبح غزلا,1,offensive,indirect,indifference,gender,women
141,أيد قادة الاتحاد الأوروبي الأسبوع الماضي بداية مفاوضات رسمية مع النظام المصري حول أزمة اللاجئين. هدف المفاوضات هو ا… @url,0,normal,direct,indifference,other,refugees
142,@user @user @user مجموعه خونه مطرودين من اوطانهم ولقو خنزير ابن خنزير ذميم يضفهم الشرهه على الرأس الكبير… @url,1,hateful,direct,indifference,origin,other
143,تكشف المرأة سبب التحرش!…,1,abusive_offensive_hateful_disrespectful_normal,indirect,indifference,gender,women
144,يبدو أنّك تحت تأثير بول البعير ، وقد تعفّن رأسك، حتّى صرتَ لا تفقه شيئاً في هذه الدّنيا، ولا تدري مالّذي يدور حوالي… @url,1,offensive,indirect,indifference,origin,other
145,ماساكتاش.. هل ستقي الصافرة المغربيات شر التحرش؟ @url,1,abusive_normal,direct,shock,other,women
146,لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,1,hateful,direct,shock,other,other
147,ويهربون خنازير الوهابية الذين فجروا فنادق بيروت يا فرخ. @url,1,hateful,direct,anger_disgust,other,other
148,في 2012 خلال مباراة الفريقين قامت جماهير ريفر بليت بإطلاق خنزير طائر يرتدي قميص البوكا فوق جماهير بوكا جونيورز @url,0,normal,indirect,indifference_disgust,other,other
149,@user ياخى اوسخ شعوب الدنيا السودانيين,1,hateful,direct,anger_shock,other,other
150,طب امنعو التحرش الاول  #ضد_منع_النقاب,0,normal,indirect,indifference,gender,women
151,رايحة بايرة بعمق ونلصق ع فيتامين دال,1,offensive,indirect,shock,other,individual
152,تحمل اللاجئون السوريون شدة البرد والحر، لكن تواجد داعش الذي خرب حياتهم فلم يستطيعوا تحمله. @url,0,normal,direct,sadness_indifference,origin,refugees
153,@user @user قال الشيعه الصفوين الروافض الاباضيه الاباضيه الاباضيه أنت ينجس يطقعه تتوضا بول البعي… @url,1,hateful,indirect,disgust,religion,other
154,@user @user اليمن مرمطة بسعودية وهي بدون سلاح مابالك بايران وهيا دوله مصنعه باتخلي الخونة أمثل… @url,1,offensive,direct,sadness,origin,other
155,@user @user والله اني في صنعاء وجنب المطر يا خنازير,1,disrespectful,direct,indifference,other,other
156,@user @user انت رجاع خود جرعة من بول البعير ولا تدخل بيناتنا يا زق,1,offensive,direct,shock,origin,individual
157,إن هؤلاء الإمعات الذين يخرجون على شاشات التلفزة باسم معارضين و ثوار و هم لم يذوقوا من مرارة العيش في سوريا و حصار ا… @url,0,normal,direct,anger_indifference,other,other
158,أول مسلمتين في #الكونغرس_الأميركي - امريكا تتقدم و العربان يتبعون مسار بول البعير @url,1,offensive,direct,indifference,origin,arabs
159,بلاغ ضد هؤلاء الوافدين من الجالية #الروهينجا البنغال المتواجدين في مكة المكرمة و يتواصلون مع خنزير لندن سعد الفقيه.… @url,1,hateful,direct,indifference,origin,asians
160,عرفت اليوم ليش سيئ طلع ذكرى ميلاد خنزير البرتغال,1,hateful,indirect,shock,origin,other
161,من هو العربي الحُر الاصيل اللذي يرضى بأن يحمكه في أرضه مجوسي فارسي خنزير !؟,0,normal,indirect,shock,origin,arabs
162,@user @user اذا كان الخنزير  نتانياهو في الاردن و ثم في تركيا و عمان و يجتمع مع سعوديين، فلا يزال الخنزير خ… @url,1,hateful,direct,disgust,other,arabs
163,من أعظم ماقيل عن قضيه التحرش من باسم يوسف @url,0,normal,indirect,sadness_indifference,gender,women
164,ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم… @url,1,hateful,direct,shock,origin,other
165,@user @user انتم سبب دمار الدول وتخلفها يا شاربي بول البعير .ايران قريبه منكم يا جبنإ,1,hateful,direct,anger_disgust,origin,other
166,@user @user دراعه كان مصاب ياشارب بول البعير,1,disrespectful,direct,indifference,other,individual
167,سوبر ايه ي عم..... كاس افريقيا اهم,0,normal,indirect,indifference,other,other
168,@user @user @user @user أني عراقي تاج على راسك يابدوي يا شارب بول البعير.,1,offensive,direct,anger_disgust,origin,individual
169,@user @user @user اشرب بول البعير وتعال,1,abusive_disrespectful,direct,indifference,other,individual
170,ترى حتى الحريم عندهم شنبات بس شايلات ليزر,0,normal,indirect,indifference,other,women
171,في خنزيره تزوجت خنزير وجابو عيال خنازير,1,abusive_disrespectful,indirect,indifference,other,other
172,كف   كموم     زنود  ثوبك    يدك ادخله    حان  وقت    اصلا    دود    علي  فران  هندوس,1,abusive_offensive_hateful_disrespectful_normal,indirect,anger_disgust,religion,indian/hindu
173,@user @user فئة خنازير,1,hateful,direct,indifference,other,other
174,@user @user حاشا ..انتم مملكة بول البعير,1,offensive,direct,indifference,origin,other
175,هنعلم الناس تحترم المرأة المتعلمة الغير متزوجة ومتهينهاش بألفاظ زي بايرة بإننا نهين المرأة اللي بتربي العيال ونطلعه… @url,1,abusive_normal,direct,indifference,other,women
176,@user @user هدي اعصابك واشرب من بول البعير العراقي,1,disrespectful,direct,disgust,origin,individual
177,ساقو الحريم وللحين ماسقت,1,offensive,indirect,confusion_disgust,other,women
178,لما تيجي تتخانق مع خنزير متتخانقش معاه علي الخره، عشان كدا انت هاتتوسخ و هو هايتبسط.,1,hateful,direct,shock,origin,individual
179,شنو في الحريم صارت خدودهم چنهم مجمعين قات وبراطمهم بعد ونظرة العيون على كتر ... بس بقولوكم چنكم البطة تويتي منظركم… @url,0,normal,direct,indifference_disgust,gender,women
180,@user @user @user لعنكم الله يا قردة ويا خنازير . عفحرة اعملوا فحص ل dna  بتعرفوا شو اصولكم يا قرود,1,offensive,indirect,anger_disgust,other,other
181,@user @user مشاكل الجاليات  البورماوية و السوريين و اليمنة و الأفارقة  في بلدنا تتفاقم ولم نسمع بحل جذري  لهم,0,normal,indirect,sadness,other,immigrants
182,@user @user واحد يقول ليش سامي يكلم وحدة متبرجة ويضحك بعد ...,1,disrespectful_normal,indirect,indifference,gender,individual
183,وبخصوص كلمتك دول خنازير مايمشو الا با… @url,1,abusive_disrespectful,indirect,anger_disgust,other,other
184,قاعدين ناخذ قصيده عن قد ايش الحريم تافهات عشان واحد كتب قصيده بقصه صارت زمان صدق ان في واحد كان يكره حرمه وجلس يخطط… @url,1,abusive_disrespectful,direct,indifference,gender,women
185,يستحسن ان يطلق عليه ابو  الدعاره  والعاهرات  خنزير تركيا   هذا اللقب يناسبه جدا @url,1,offensive,direct,indifference,origin,other
186,انتشرت ظاهرةالتحرش بالفتيات لتصبح هاجساًيرعب الآباءعلى بناتهن وخوفاًيصيب الفتيات نتيجةمايتعرضن له من إيذاء جسدي ونف… @url,0,normal,indirect,indifference,gender,women
187,: [@user @user تسمي التعاون مع الي قتلو نص مليون شهيد سوري قوه يا صرصور مو اسمها قوه اسمها خيانه ووساخه يا وسخ,1,abusive_hateful,direct,indifference_disgust,other,individual
188,نحنُ اللاجئون الوحيدون في أرضٍ خلقها الله حُرة فاستعبدوها بالقيود نحنُ الحبُ الحقيقي في أرضٍ تُحب الأجساد قبل القلوب..,0,normal,indirect,sadness_indifference,origin,refugees
189,مشكله غيرة الشباب من بعض اخيس من الحريم تف عليك اذا انت من هالنوع,1,abusive_disrespectful,indirect,confusion_sadness_shock_indifference_disgust,other,other
190,@user @user ادعسو جماجم خنازير الفرس ادعسوا من غدر بالحسين واليوم يلطمون عليه مثل البهائم,0,normal,indirect,indifference,origin,other
191,من الجزائر بلد المجاهدين اكبر خنزير عرفته السعودية هو مح....بن سلمان اللذي يدفع لزوجه وسيده ترانب المليارات والمسلم… @url,1,offensive,direct,anger_disgust,other,individual
192,@user @user تركي راحل نجس يكيد مثل الحريم التي ليس لا رجل او لجام من العفه و الحياء و الوقار يربطها,1,offensive,direct,disgust,origin,individual
193,يوجد بتويتر خنازير,1,hateful,indirect,indifference,other,other
194,@user @user لو انها بنت سعوديه يالكلب الخسيس كنت تنابح ضدها متبرجه وكاشفه هههه اما ذي لا كويسه ابوك ياخروف,1,offensive,direct,anger_disgust,origin,women
195,@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,0,normal,direct,shock_disgust,gender,women
196,صحبك اب سن مشرومة مجكس؟ — بايره ساي دا @url,1,offensive,indirect,indifference_disgust,gender,women
197,@user @user دول خنازير مش خرفان,1,disrespectful,indirect,indifference,other,other
198,مصادر بالمفوضية : اللاجئون السوريون بحاجة لـ 96 مليون دولار لمواجهة الشتاء @url @url,0,normal,indirect,indifference,other,refugees
199,تنرفزوا خنازير ليفربول قاموا يضربون فيه !!!,1,disrespectful,direct,indifference,other,other
200,ماشايفو قال حاجه غلط حوادث التحرش بتحصل كتير في المجال دا والطبيب في الاخير انسان زينا وممكن يتمادى ف الززل لو لقى… @url,1,offensive,indirect,indifference,other,women
