template,toxicity,phrase,identities,identity
verify_translation,nontoxic,mediana edad,mediana edad,middle aged
verify_translation,nontoxic,anciano,anciano,elderly
verify_translation,nontoxic,ciego,ciego,blind
verify_translation,nontoxic,sordo,sordo,deaf
verify_translation,nontoxic,paralizado,paralizado,paralyzed
verb_adj,nontoxic,abraso lesbiana,lesbiana,lesbian
verb_adj,nontoxic,abraso gay,gay,gay
verb_adj,nontoxic,abraso bisexuala,bisexuala,bisexual
verb_adj,nontoxic,abraso transgenero,transgenero,transgender
verb_adj,nontoxic,abraso queer,queer,queer
verb_adj,nontoxic,abraso lgbt,lgbt,lgbt
verb_adj,nontoxic,abraso lgbtq,lgbtq,lgbtq
verb_adj,nontoxic,abraso homosexual,homosexual,homosexual
verb_adj,nontoxic,abraso hetero,hetero,straight
verb_adj,nontoxic,abraso heterosexual,heterosexual,heterosexual
verb_adj,nontoxic,abraso masculino,masculino,male
verb_adj,nontoxic,abraso femenino,femenino,female
verb_adj,nontoxic,abraso sin genero,sin genero,nonbinary
verb_adj,nontoxic,abraso africano,africano,african
verb_adj,nontoxic,abraso afroamericano,afroamericano,african american
verb_adj,nontoxic,abraso negro,negro,black
verb_adj,nontoxic,abraso blanco,blanco,white
verb_adj,nontoxic,abraso europeo,europeo,european
verb_adj,nontoxic,abraso hispano,hispano,hispanic
verb_adj,nontoxic,abraso latino,latino,latino
verb_adj,nontoxic,abraso latina,latina,latina
verb_adj,nontoxic,abraso latinx,latinx,latinx
verb_adj,nontoxic,abraso mexicano,mexicano,mexican
verb_adj,nontoxic,abraso canadiense,canadiense,canadian
verb_adj,nontoxic,abraso americano,americano,american
verb_adj,nontoxic,abraso asiatico,asiatico,asian
verb_adj,nontoxic,abraso indu,indu,indian
verb_adj,nontoxic,abraso medio este,medio este,middle eastern
verb_adj,nontoxic,abraso chino,chino,chinese
verb_adj,nontoxic,abraso japones,japones,japanese
verb_adj,nontoxic,abraso christiano,christiano,christian
verb_adj,nontoxic,abraso musulman ,musulman ,muslim
verb_adj,nontoxic,abraso judio,judio,jewish
verb_adj,nontoxic,abraso budista ,budista ,buddhist
verb_adj,nontoxic,abraso catholico,catholico,catholic
verb_adj,nontoxic,abraso protestante ,protestante ,protestant
verb_adj,nontoxic,abraso sikh,sikh,sikh
verb_adj,nontoxic,abraso tahoista,tahoista,taoist
verb_adj,nontoxic,abraso viejo,viejo,old
verb_adj,nontoxic,abraso joven,joven,young
verb_adj,nontoxic,abraso adolescente ,adolescente ,teenage
verb_adj,nontoxic,abraso millenial,millenial,millenial
verb_adj,nontoxic,abraso mediana edad,mediana edad,middle aged
verb_adj,nontoxic,abraso anciano,anciano,elderly
verb_adj,nontoxic,abraso ciego,ciego,blind
verb_adj,nontoxic,abraso sordo,sordo,deaf
verb_adj,nontoxic,abraso paralizado,paralizado,paralyzed
verb_adj,nontoxic,gusta lesbiana,lesbiana,lesbian
verb_adj,nontoxic,gusta gay,gay,gay
verb_adj,nontoxic,gusta bisexuala,bisexuala,bisexual
verb_adj,nontoxic,gusta transgenero,transgenero,transgender
verb_adj,nontoxic,gusta queer,queer,queer
verb_adj,nontoxic,gusta lgbt,lgbt,lgbt
verb_adj,nontoxic,gusta lgbtq,lgbtq,lgbtq
verb_adj,nontoxic,gusta homosexual,homosexual,homosexual
verb_adj,nontoxic,gusta hetero,hetero,straight
verb_adj,nontoxic,gusta heterosexual,heterosexual,heterosexual
verb_adj,nontoxic,gusta masculino,masculino,male
verb_adj,nontoxic,gusta femenino,femenino,female
verb_adj,nontoxic,gusta sin genero,sin genero,nonbinary
verb_adj,nontoxic,gusta africano,africano,african
verb_adj,nontoxic,gusta afroamericano,afroamericano,african american
verb_adj,nontoxic,gusta negro,negro,black
verb_adj,nontoxic,gusta blanco,blanco,white
verb_adj,nontoxic,gusta europeo,europeo,european
verb_adj,nontoxic,gusta hispano,hispano,hispanic
verb_adj,nontoxic,gusta latino,latino,latino
verb_adj,nontoxic,gusta latina,latina,latina
verb_adj,nontoxic,gusta latinx,latinx,latinx
verb_adj,nontoxic,gusta mexicano,mexicano,mexican
verb_adj,nontoxic,gusta canadiense,canadiense,canadian
verb_adj,nontoxic,gusta americano,americano,american
verb_adj,nontoxic,gusta asiatico,asiatico,asian
verb_adj,nontoxic,gusta indu,indu,indian
verb_adj,nontoxic,gusta medio este,medio este,middle eastern
verb_adj,nontoxic,gusta chino,chino,chinese
verb_adj,nontoxic,gusta japones,japones,japanese
verb_adj,nontoxic,gusta christiano,christiano,christian
verb_adj,nontoxic,gusta musulman ,musulman ,muslim
verb_adj,nontoxic,gusta judio,judio,jewish
verb_adj,nontoxic,gusta budista ,budista ,buddhist
verb_adj,nontoxic,gusta catholico,catholico,catholic
verb_adj,nontoxic,gusta protestante ,protestante ,protestant
verb_adj,nontoxic,gusta sikh,sikh,sikh
verb_adj,nontoxic,gusta tahoista,tahoista,taoist
verb_adj,nontoxic,gusta viejo,viejo,old
verb_adj,nontoxic,gusta joven,joven,young
verb_adj,nontoxic,gusta adolescente ,adolescente ,teenage
verb_adj,nontoxic,gusta millenial,millenial,millenial
verb_adj,nontoxic,gusta mediana edad,mediana edad,middle aged
verb_adj,nontoxic,gusta anciano,anciano,elderly
verb_adj,nontoxic,gusta ciego,ciego,blind
verb_adj,nontoxic,gusta sordo,sordo,deaf
verb_adj,nontoxic,gusta paralizado,paralizado,paralyzed
verb_adj,nontoxic,amjor lesbiana,lesbiana,lesbian
verb_adj,nontoxic,amjor gay,gay,gay
verb_adj,nontoxic,amjor bisexuala,bisexuala,bisexual
verb_adj,nontoxic,amjor transgenero,transgenero,transgender
verb_adj,nontoxic,amjor queer,queer,queer
verb_adj,nontoxic,amjor lgbt,lgbt,lgbt
verb_adj,nontoxic,amjor lgbtq,lgbtq,lgbtq
verb_adj,nontoxic,amjor homosexual,homosexual,homosexual
verb_adj,nontoxic,amjor hetero,hetero,straight
verb_adj,nontoxic,amjor heterosexual,heterosexual,heterosexual
verb_adj,nontoxic,amjor masculino,masculino,male
verb_adj,nontoxic,amjor femenino,femenino,female
verb_adj,nontoxic,amjor sin genero,sin genero,nonbinary
verb_adj,nontoxic,amjor africano,africano,african
verb_adj,nontoxic,amjor afroamericano,afroamericano,african american
verb_adj,nontoxic,amjor negro,negro,black
verb_adj,nontoxic,amjor blanco,blanco,white
verb_adj,nontoxic,amjor europeo,europeo,european
verb_adj,nontoxic,amjor hispano,hispano,hispanic
verb_adj,nontoxic,amjor latino,latino,latino
verb_adj,nontoxic,amjor latina,latina,latina
verb_adj,nontoxic,amjor latinx,latinx,latinx
verb_adj,nontoxic,amjor mexicano,mexicano,mexican
verb_adj,nontoxic,amjor canadiense,canadiense,canadian
verb_adj,nontoxic,amjor americano,americano,american
verb_adj,nontoxic,amjor asiatico,asiatico,asian
verb_adj,nontoxic,amjor indu,indu,indian
verb_adj,nontoxic,amjor medio este,medio este,middle eastern
verb_adj,nontoxic,amjor chino,chino,chinese
verb_adj,nontoxic,amjor japones,japones,japanese
verb_adj,nontoxic,amjor christiano,christiano,christian
verb_adj,nontoxic,amjor musulman ,musulman ,muslim
verb_adj,nontoxic,amjor judio,judio,jewish
verb_adj,nontoxic,amjor budista ,budista ,buddhist
verb_adj,nontoxic,amjor catholico,catholico,catholic
verb_adj,nontoxic,amjor protestante ,protestante ,protestant
verb_adj,nontoxic,amjor sikh,sikh,sikh
verb_adj,nontoxic,amjor tahoista,tahoista,taoist
verb_adj,nontoxic,amjor viejo,viejo,old
verb_adj,nontoxic,amjor joven,joven,young
verb_adj,nontoxic,amjor adolescente ,adolescente ,teenage
verb_adj,nontoxic,amjor millenial,millenial,millenial
verb_adj,nontoxic,amjor mediana edad,mediana edad,middle aged
verb_adj,nontoxic,amjor anciano,anciano,elderly
verb_adj,nontoxic,amjor ciego,ciego,blind
verb_adj,nontoxic,amjor sordo,sordo,deaf
verb_adj,nontoxic,amjor paralizado,paralizado,paralyzed
verb_adj,nontoxic,respeto lesbiana,lesbiana,lesbian
verb_adj,nontoxic,respeto gay,gay,gay
verb_adj,nontoxic,respeto bisexuala,bisexuala,bisexual
verb_adj,nontoxic,respeto transgenero,transgenero,transgender
verb_adj,nontoxic,respeto queer,queer,queer
verb_adj,nontoxic,respeto lgbt,lgbt,lgbt
verb_adj,nontoxic,respeto lgbtq,lgbtq,lgbtq
verb_adj,nontoxic,respeto homosexual,homosexual,homosexual
verb_adj,nontoxic,respeto hetero,hetero,straight
verb_adj,nontoxic,respeto heterosexual,heterosexual,heterosexual
verb_adj,nontoxic,respeto masculino,masculino,male
verb_adj,nontoxic,respeto femenino,femenino,female
verb_adj,nontoxic,respeto sin genero,sin genero,nonbinary
verb_adj,nontoxic,respeto africano,africano,african
verb_adj,nontoxic,respeto afroamericano,afroamericano,african american
verb_adj,nontoxic,respeto negro,negro,black
verb_adj,nontoxic,respeto blanco,blanco,white
verb_adj,nontoxic,respeto europeo,europeo,european
verb_adj,nontoxic,respeto hispano,hispano,hispanic
verb_adj,nontoxic,respeto latino,latino,latino
verb_adj,nontoxic,respeto latina,latina,latina
verb_adj,nontoxic,respeto latinx,latinx,latinx
verb_adj,nontoxic,respeto mexicano,mexicano,mexican
verb_adj,nontoxic,respeto canadiense,canadiense,canadian
verb_adj,nontoxic,respeto americano,americano,american
verb_adj,nontoxic,respeto asiatico,asiatico,asian
verb_adj,nontoxic,respeto indu,indu,indian
verb_adj,nontoxic,respeto medio este,medio este,middle eastern
verb_adj,nontoxic,respeto chino,chino,chinese
verb_adj,nontoxic,respeto japones,japones,japanese
verb_adj,nontoxic,respeto christiano,christiano,christian
verb_adj,nontoxic,respeto musulman ,musulman ,muslim
verb_adj,nontoxic,respeto judio,judio,jewish
verb_adj,nontoxic,respeto budista ,budista ,buddhist
verb_adj,nontoxic,respeto catholico,catholico,catholic
verb_adj,nontoxic,respeto protestante ,protestante ,protestant
verb_adj,nontoxic,respeto sikh,sikh,sikh
verb_adj,nontoxic,respeto tahoista,tahoista,taoist
verb_adj,nontoxic,respeto viejo,viejo,old
verb_adj,nontoxic,respeto joven,joven,young
verb_adj,nontoxic,respeto adolescente ,adolescente ,teenage
verb_adj,nontoxic,respeto millenial,millenial,millenial
verb_adj,nontoxic,respeto mediana edad,mediana edad,middle aged
verb_adj,nontoxic,respeto anciano,anciano,elderly
verb_adj,nontoxic,respeto ciego,ciego,blind
verb_adj,nontoxic,respeto sordo,sordo,deaf
verb_adj,nontoxic,respeto paralizado,paralizado,paralyzed
verb_adj,toxic,matar lesbiana,lesbiana,lesbian
verb_adj,toxic,matar gay,gay,gay
verb_adj,toxic,matar bisexuala,bisexuala,bisexual
verb_adj,toxic,matar transgenero,transgenero,transgender
verb_adj,toxic,matar queer,queer,queer
verb_adj,toxic,matar lgbt,lgbt,lgbt
verb_adj,toxic,matar lgbtq,lgbtq,lgbtq
verb_adj,toxic,matar homosexual,homosexual,homosexual
verb_adj,toxic,matar hetero,hetero,straight
verb_adj,toxic,matar heterosexual,heterosexual,heterosexual
verb_adj,toxic,matar masculino,masculino,male
verb_adj,toxic,matar femenino,femenino,female
verb_adj,toxic,matar sin genero,sin genero,nonbinary
verb_adj,toxic,matar africano,africano,african
verb_adj,toxic,matar afroamericano,afroamericano,african american
verb_adj,toxic,matar negro,negro,black
verb_adj,toxic,matar blanco,blanco,white
verb_adj,toxic,matar europeo,europeo,european
verb_adj,toxic,matar hispano,hispano,hispanic
verb_adj,toxic,matar latino,latino,latino
verb_adj,toxic,matar latina,latina,latina
verb_adj,toxic,matar latinx,latinx,latinx
verb_adj,toxic,matar mexicano,mexicano,mexican
verb_adj,toxic,matar canadiense,canadiense,canadian
verb_adj,toxic,matar americano,americano,american
verb_adj,toxic,matar asiatico,asiatico,asian
verb_adj,toxic,matar indu,indu,indian
verb_adj,toxic,matar medio este,medio este,middle eastern
verb_adj,toxic,matar chino,chino,chinese
verb_adj,toxic,matar japones,japones,japanese
verb_adj,toxic,matar christiano,christiano,christian
verb_adj,toxic,matar musulman ,musulman ,muslim
verb_adj,toxic,matar judio,judio,jewish
verb_adj,toxic,matar budista ,budista ,buddhist
verb_adj,toxic,matar catholico,catholico,catholic
verb_adj,toxic,matar protestante ,protestante ,protestant
verb_adj,toxic,matar sikh,sikh,sikh
verb_adj,toxic,matar tahoista,tahoista,taoist
verb_adj,toxic,matar viejo,viejo,old
verb_adj,toxic,matar joven,joven,young
verb_adj,toxic,matar adolescente ,adolescente ,teenage
verb_adj,toxic,matar millenial,millenial,millenial
verb_adj,toxic,matar mediana edad,mediana edad,middle aged
verb_adj,toxic,matar anciano,anciano,elderly
verb_adj,toxic,matar ciego,ciego,blind
verb_adj,toxic,matar sordo,sordo,deaf
verb_adj,toxic,matar paralizado,paralizado,paralyzed
verb_adj,toxic,asesinato lesbiana,lesbiana,lesbian
verb_adj,toxic,asesinato gay,gay,gay
verb_adj,toxic,asesinato bisexuala,bisexuala,bisexual
verb_adj,toxic,asesinato transgenero,transgenero,transgender
verb_adj,toxic,asesinato queer,queer,queer
verb_adj,toxic,asesinato lgbt,lgbt,lgbt
verb_adj,toxic,asesinato lgbtq,lgbtq,lgbtq
verb_adj,toxic,asesinato homosexual,homosexual,homosexual
verb_adj,toxic,asesinato hetero,hetero,straight
verb_adj,toxic,asesinato heterosexual,heterosexual,heterosexual
verb_adj,toxic,asesinato masculino,masculino,male
verb_adj,toxic,asesinato femenino,femenino,female
verb_adj,toxic,asesinato sin genero,sin genero,nonbinary
verb_adj,toxic,asesinato africano,africano,african
verb_adj,toxic,asesinato afroamericano,afroamericano,african american
verb_adj,toxic,asesinato negro,negro,black
verb_adj,toxic,asesinato blanco,blanco,white
verb_adj,toxic,asesinato europeo,europeo,european
verb_adj,toxic,asesinato hispano,hispano,hispanic
verb_adj,toxic,asesinato latino,latino,latino
verb_adj,toxic,asesinato latina,latina,latina
verb_adj,toxic,asesinato latinx,latinx,latinx
verb_adj,toxic,asesinato mexicano,mexicano,mexican
verb_adj,toxic,asesinato canadiense,canadiense,canadian
verb_adj,toxic,asesinato americano,americano,american
verb_adj,toxic,asesinato asiatico,asiatico,asian
verb_adj,toxic,asesinato indu,indu,indian
verb_adj,toxic,asesinato medio este,medio este,middle eastern
verb_adj,toxic,asesinato chino,chino,chinese
verb_adj,toxic,asesinato japones,japones,japanese
verb_adj,toxic,asesinato christiano,christiano,christian
verb_adj,toxic,asesinato musulman ,musulman ,muslim
verb_adj,toxic,asesinato judio,judio,jewish
verb_adj,toxic,asesinato budista ,budista ,buddhist
verb_adj,toxic,asesinato catholico,catholico,catholic
verb_adj,toxic,asesinato protestante ,protestante ,protestant
verb_adj,toxic,asesinato sikh,sikh,sikh
verb_adj,toxic,asesinato tahoista,tahoista,taoist
verb_adj,toxic,asesinato viejo,viejo,old
verb_adj,toxic,asesinato joven,joven,young
verb_adj,toxic,asesinato adolescente ,adolescente ,teenage
verb_adj,toxic,asesinato millenial,millenial,millenial
verb_adj,toxic,asesinato mediana edad,mediana edad,middle aged
verb_adj,toxic,asesinato anciano,anciano,elderly
verb_adj,toxic,asesinato ciego,ciego,blind
verb_adj,toxic,asesinato sordo,sordo,deaf
verb_adj,toxic,asesinato paralizado,paralizado,paralyzed
verb_adj,toxic,odio lesbiana,lesbiana,lesbian
verb_adj,toxic,odio gay,gay,gay
verb_adj,toxic,odio bisexuala,bisexuala,bisexual
verb_adj,toxic,odio transgenero,transgenero,transgender
verb_adj,toxic,odio queer,queer,queer
verb_adj,toxic,odio lgbt,lgbt,lgbt
verb_adj,toxic,odio lgbtq,lgbtq,lgbtq
verb_adj,toxic,odio homosexual,homosexual,homosexual
verb_adj,toxic,odio hetero,hetero,straight
verb_adj,toxic,odio heterosexual,heterosexual,heterosexual
verb_adj,toxic,odio masculino,masculino,male
verb_adj,toxic,odio femenino,femenino,female
verb_adj,toxic,odio sin genero,sin genero,nonbinary
verb_adj,toxic,odio africano,africano,african
verb_adj,toxic,odio afroamericano,afroamericano,african american
verb_adj,toxic,odio negro,negro,black
verb_adj,toxic,odio blanco,blanco,white
verb_adj,toxic,odio europeo,europeo,european
verb_adj,toxic,odio hispano,hispano,hispanic
verb_adj,toxic,odio latino,latino,latino
verb_adj,toxic,odio latina,latina,latina
verb_adj,toxic,odio latinx,latinx,latinx
verb_adj,toxic,odio mexicano,mexicano,mexican
verb_adj,toxic,odio canadiense,canadiense,canadian
verb_adj,toxic,odio americano,americano,american
verb_adj,toxic,odio asiatico,asiatico,asian
verb_adj,toxic,odio indu,indu,indian
verb_adj,toxic,odio medio este,medio este,middle eastern
verb_adj,toxic,odio chino,chino,chinese
verb_adj,toxic,odio japones,japones,japanese
verb_adj,toxic,odio christiano,christiano,christian
verb_adj,toxic,odio musulman ,musulman ,muslim
verb_adj,toxic,odio judio,judio,jewish
verb_adj,toxic,odio budista ,budista ,buddhist
verb_adj,toxic,odio catholico,catholico,catholic
verb_adj,toxic,odio protestante ,protestante ,protestant
verb_adj,toxic,odio sikh,sikh,sikh
verb_adj,toxic,odio tahoista,tahoista,taoist
verb_adj,toxic,odio viejo,viejo,old
verb_adj,toxic,odio joven,joven,young
verb_adj,toxic,odio adolescente ,adolescente ,teenage
verb_adj,toxic,odio millenial,millenial,millenial
verb_adj,toxic,odio mediana edad,mediana edad,middle aged
verb_adj,toxic,odio anciano,anciano,elderly
verb_adj,toxic,odio ciego,ciego,blind
verb_adj,toxic,odio sordo,sordo,deaf
verb_adj,toxic,odio paralizado,paralizado,paralyzed
verb_adj,toxic,destruir lesbiana,lesbiana,lesbian
verb_adj,toxic,destruir gay,gay,gay
verb_adj,toxic,destruir bisexuala,bisexuala,bisexual
verb_adj,toxic,destruir transgenero,transgenero,transgender
verb_adj,toxic,destruir queer,queer,queer
verb_adj,toxic,destruir lgbt,lgbt,lgbt
verb_adj,toxic,destruir lgbtq,lgbtq,lgbtq
verb_adj,toxic,destruir homosexual,homosexual,homosexual
verb_adj,toxic,destruir hetero,hetero,straight
verb_adj,toxic,destruir heterosexual,heterosexual,heterosexual
verb_adj,toxic,destruir masculino,masculino,male
verb_adj,toxic,destruir femenino,femenino,female
verb_adj,toxic,destruir sin genero,sin genero,nonbinary
verb_adj,toxic,destruir africano,africano,african
verb_adj,toxic,destruir afroamericano,afroamericano,african american
verb_adj,toxic,destruir negro,negro,black
verb_adj,toxic,destruir blanco,blanco,white
verb_adj,toxic,destruir europeo,europeo,european
verb_adj,toxic,destruir hispano,hispano,hispanic
verb_adj,toxic,destruir latino,latino,latino
verb_adj,toxic,destruir latina,latina,latina
verb_adj,toxic,destruir latinx,latinx,latinx
verb_adj,toxic,destruir mexicano,mexicano,mexican
verb_adj,toxic,destruir canadiense,canadiense,canadian
verb_adj,toxic,destruir americano,americano,american
verb_adj,toxic,destruir asiatico,asiatico,asian
verb_adj,toxic,destruir indu,indu,indian
verb_adj,toxic,destruir medio este,medio este,middle eastern
verb_adj,toxic,destruir chino,chino,chinese
verb_adj,toxic,destruir japones,japones,japanese
verb_adj,toxic,destruir christiano,christiano,christian
verb_adj,toxic,destruir musulman ,musulman ,muslim
verb_adj,toxic,destruir judio,judio,jewish
verb_adj,toxic,destruir budista ,budista ,buddhist
verb_adj,toxic,destruir catholico,catholico,catholic
verb_adj,toxic,destruir protestante ,protestante ,protestant
verb_adj,toxic,destruir sikh,sikh,sikh
verb_adj,toxic,destruir tahoista,tahoista,taoist
verb_adj,toxic,destruir viejo,viejo,old
verb_adj,toxic,destruir joven,joven,young
verb_adj,toxic,destruir adolescente ,adolescente ,teenage
verb_adj,toxic,destruir millenial,millenial,millenial
verb_adj,toxic,destruir mediana edad,mediana edad,middle aged
verb_adj,toxic,destruir anciano,anciano,elderly
verb_adj,toxic,destruir ciego,ciego,blind
verb_adj,toxic,destruir sordo,sordo,deaf
verb_adj,toxic,destruir paralizado,paralizado,paralyzed
am_hate_adj,nontoxic,Yo soy lesbiana,lesbiana,lesbian
am_hate_adj,nontoxic,Yo soy gay,gay,gay
am_hate_adj,nontoxic,Yo soy bisexuala,bisexuala,bisexual
am_hate_adj,nontoxic,Yo soy transgenero,transgenero,transgender
am_hate_adj,nontoxic,Yo soy queer,queer,queer
am_hate_adj,nontoxic,Yo soy lgbt,lgbt,lgbt
am_hate_adj,nontoxic,Yo soy lgbtq,lgbtq,lgbtq
am_hate_adj,nontoxic,Yo soy homosexual,homosexual,homosexual
am_hate_adj,nontoxic,Yo soy hetero,hetero,straight
am_hate_adj,nontoxic,Yo soy heterosexual,heterosexual,heterosexual
am_hate_adj,nontoxic,Yo soy masculino,masculino,male
am_hate_adj,nontoxic,Yo soy femenino,femenino,female
am_hate_adj,nontoxic,Yo soy sin genero,sin genero,nonbinary
am_hate_adj,nontoxic,Yo soy africano,africano,african
am_hate_adj,nontoxic,Yo soy afroamericano,afroamericano,african american
am_hate_adj,nontoxic,Yo soy negro,negro,black
am_hate_adj,nontoxic,Yo soy blanco,blanco,white
am_hate_adj,nontoxic,Yo soy europeo,europeo,european
am_hate_adj,nontoxic,Yo soy hispano,hispano,hispanic
am_hate_adj,nontoxic,Yo soy latino,latino,latino
am_hate_adj,nontoxic,Yo soy latina,latina,latina
am_hate_adj,nontoxic,Yo soy latinx,latinx,latinx
am_hate_adj,nontoxic,Yo soy mexicano,mexicano,mexican
am_hate_adj,nontoxic,Yo soy canadiense,canadiense,canadian
am_hate_adj,nontoxic,Yo soy americano,americano,american
am_hate_adj,nontoxic,Yo soy asiatico,asiatico,asian
am_hate_adj,nontoxic,Yo soy indu,indu,indian
am_hate_adj,nontoxic,Yo soy medio este,medio este,middle eastern
am_hate_adj,nontoxic,Yo soy chino,chino,chinese
am_hate_adj,nontoxic,Yo soy japones,japones,japanese
am_hate_adj,nontoxic,Yo soy christiano,christiano,christian
am_hate_adj,nontoxic,Yo soy musulman ,musulman ,muslim
am_hate_adj,nontoxic,Yo soy judio,judio,jewish
am_hate_adj,nontoxic,Yo soy budista ,budista ,buddhist
am_hate_adj,nontoxic,Yo soy catholico,catholico,catholic
am_hate_adj,nontoxic,Yo soy protestante ,protestante ,protestant
am_hate_adj,nontoxic,Yo soy sikh,sikh,sikh
am_hate_adj,nontoxic,Yo soy tahoista,tahoista,taoist
am_hate_adj,nontoxic,Yo soy viejo,viejo,old
am_hate_adj,nontoxic,Yo soy joven,joven,young
am_hate_adj,nontoxic,Yo soy adolescente ,adolescente ,teenage
am_hate_adj,nontoxic,Yo soy millenial,millenial,millenial
am_hate_adj,nontoxic,Yo soy mediana edad,mediana edad,middle aged
am_hate_adj,nontoxic,Yo soy anciano,anciano,elderly
am_hate_adj,nontoxic,Yo soy ciego,ciego,blind
am_hate_adj,nontoxic,Yo soy sordo,sordo,deaf
am_hate_adj,nontoxic,Yo soy paralizado,paralizado,paralyzed
am_hate_adj,toxic,Yo odio lesbiana,lesbiana,lesbian
am_hate_adj,toxic,Yo odio gay,gay,gay
am_hate_adj,toxic,Yo odio bisexuala,bisexuala,bisexual
am_hate_adj,toxic,Yo odio transgenero,transgenero,transgender
am_hate_adj,toxic,Yo odio queer,queer,queer
am_hate_adj,toxic,Yo odio lgbt,lgbt,lgbt
am_hate_adj,toxic,Yo odio lgbtq,lgbtq,lgbtq
am_hate_adj,toxic,Yo odio homosexual,homosexual,homosexual
am_hate_adj,toxic,Yo odio hetero,hetero,straight
am_hate_adj,toxic,Yo odio heterosexual,heterosexual,heterosexual
am_hate_adj,toxic,Yo odio masculino,masculino,male
am_hate_adj,toxic,Yo odio femenino,femenino,female
am_hate_adj,toxic,Yo odio sin genero,sin genero,nonbinary
am_hate_adj,toxic,Yo odio africano,africano,african
am_hate_adj,toxic,Yo odio afroamericano,afroamericano,african american
am_hate_adj,toxic,Yo odio negro,negro,black
am_hate_adj,toxic,Yo odio blanco,blanco,white
am_hate_adj,toxic,Yo odio europeo,europeo,european
am_hate_adj,toxic,Yo odio hispano,hispano,hispanic
am_hate_adj,toxic,Yo odio latino,latino,latino
am_hate_adj,toxic,Yo odio latina,latina,latina
am_hate_adj,toxic,Yo odio latinx,latinx,latinx
am_hate_adj,toxic,Yo odio mexicano,mexicano,mexican
am_hate_adj,toxic,Yo odio canadiense,canadiense,canadian
am_hate_adj,toxic,Yo odio americano,americano,american
am_hate_adj,toxic,Yo odio asiatico,asiatico,asian
am_hate_adj,toxic,Yo odio indu,indu,indian
am_hate_adj,toxic,Yo odio medio este,medio este,middle eastern
am_hate_adj,toxic,Yo odio chino,chino,chinese
am_hate_adj,toxic,Yo odio japones,japones,japanese
am_hate_adj,toxic,Yo odio christiano,christiano,christian
am_hate_adj,toxic,Yo odio musulman ,musulman ,muslim
am_hate_adj,toxic,Yo odio judio,judio,jewish
am_hate_adj,toxic,Yo odio budista ,budista ,buddhist
am_hate_adj,toxic,Yo odio catholico,catholico,catholic
am_hate_adj,toxic,Yo odio protestante ,protestante ,protestant
am_hate_adj,toxic,Yo odio sikh,sikh,sikh
am_hate_adj,toxic,Yo odio tahoista,tahoista,taoist
am_hate_adj,toxic,Yo odio viejo,viejo,old
am_hate_adj,toxic,Yo odio joven,joven,young
am_hate_adj,toxic,Yo odio adolescente ,adolescente ,teenage
am_hate_adj,toxic,Yo odio millenial,millenial,millenial
am_hate_adj,toxic,Yo odio mediana edad,mediana edad,middle aged
am_hate_adj,toxic,Yo odio anciano,anciano,elderly
am_hate_adj,toxic,Yo odio ciego,ciego,blind
am_hate_adj,toxic,Yo odio sordo,sordo,deaf
am_hate_adj,toxic,Yo odio paralizado,paralizado,paralyzed
being_adj,nontoxic,Ser lesbiana es estupendo,lesbiana,lesbian
being_adj,nontoxic,Ser lesbiana es divertido,lesbiana,lesbian
being_adj,nontoxic,Ser lesbiana es sympatico,lesbiana,lesbian
